character,count,selected_count,train_count,test_count,val_count,id
Hatsune Miku,57419,47805,38244,4780,4781,1
Ganyu,6504,6137,4910,614,613,2
Flandre Scarlet,6640,5697,4558,570,569,3
Akemi Homura,6514,5594,4475,559,560,4
Rem (Re:Zero),5771,5444,4355,544,545,5
Hakurei Reimu,6419,5394,4315,539,540,6
Hu Tao,5633,5182,4146,518,518,7
Raiden Shogun,5218,4794,3835,479,480,8
Megurine Luka,5504,4578,3662,458,458,9
Houshou Marine,4703,4488,3590,449,449,10
Kaname Madoka,5132,4478,3582,448,448,11
Kagamine Rin,5611,4430,3544,443,443,12
Saber (Fate/stay night),5034,4302,3442,430,430,13
Remilia Scarlet,4649,3930,3144,393,393,14
Princess Peach,4798,3764,3011,376,377,15
Firefly (Honkai Star Rail),4110,3762,3010,376,376,16
Kagamine Len,4718,3732,2986,373,373,17
Kirisame Marisa,4419,3569,2855,357,357,18
Yae Miko,3811,3545,2836,354,355,19
Konpaku Youmu,4034,3499,2799,350,350,20
Minato Aqua,3660,3492,2794,349,349,21
Cirno,3774,3397,2718,340,339,22
Miki Sayaka,3735,3299,2639,330,330,23
Yazawa Nico,3412,3183,2546,318,319,24
Mash Kyrielight,3399,3153,2522,315,316,25
Tomoe Mami,3568,3115,2492,312,311,26
Orihara Izaya,4658,3077,2462,308,307,27
Amiya,3530,3072,2458,307,307,28
Keqing,3290,3065,2452,306,307,29
Kinomoto Sakura,3738,3053,2442,305,306,30
Kamisato Ayaka,3275,2992,2394,299,299,31
Izayoi Sakuya,3442,2953,2362,295,296,32
Sakura Kyouko,3283,2952,2362,295,295,33
Minami Kotori,3086,2928,2342,293,293,34
Komeiji Koishi,3390,2924,2339,292,293,35
Joan Alter,3202,2864,2291,286,287,36
GUMI,3633,2850,2280,285,285,37
Toujou Nozomi,3019,2838,2270,284,284,38
Usada Pekora,2964,2813,2250,281,282,39
Souryuu Asuka Langley,3202,2809,2247,281,281,40
Patchouli Knowledge,3137,2741,2193,274,274,41
Sailor Moon (Character),3129,2724,2179,272,273,42
Nishikino Maki,2889,2658,2126,266,266,43
Yor Briar,3039,2649,2119,265,265,44
Watanabe You,2800,2636,2109,264,263,45
Kochiya Sanae,2948,2632,2106,263,263,46
Hoshimachi Suisei,2752,2596,2077,260,259,47
Foreigner (Abigail Williams),2968,2585,2068,258,259,48
Uruha Rushia,2693,2545,2036,254,255,49
Formidable,2627,2531,2025,253,253,50
Uzumaki Naruto,3915,2526,2021,253,252,51
Kaito (Vocaloid),3428,2523,2018,252,253,52
Nilou,2629,2484,1987,248,249,53
Tsushima Yoshiko,2667,2477,1982,248,247,54
Ichinose Asuna,2613,2449,1959,245,245,55
Gawr Gura,2594,2444,1955,244,245,56
Kuroko Tetsuya,3109,2409,1927,241,241,57
Sangonomiya Kokomi,2569,2403,1922,240,241,58
Emilia,2588,2384,1907,238,239,59
Takarada Rikka,2593,2358,1886,236,236,60
Lumine,2609,2357,1886,236,235,61
Sakamata Chloe,2418,2337,1870,234,233,62
Shirakami Fubuki,2438,2309,1847,231,231,63
Sonoda Umi,2408,2281,1825,228,228,64
Heiwajima Shizuo,3319,2273,1818,227,228,65
Saigyouji Yuyuko,2737,2273,1818,227,228,66
Mona Megistus,2618,2266,1813,227,226,67
Eula Lawrence,2404,2244,1795,224,225,68
Amane Kanata,2344,2212,1770,221,221,69
Sakura Saber,2391,2211,1769,221,221,70
Tokoyami Towa,2253,2208,1766,221,221,71
Shigure (Kantai Collection),2337,2180,1744,218,218,72
Saber (Fate/EXTRA),2476,2158,1726,216,216,73
Furina,2429,2142,1714,214,214,74
Shimakaze,2349,2125,1700,212,213,75
Uchiha Sasuke,3327,2107,1686,211,210,76
Yakumo Yukari,2499,2079,1663,208,208,77
Kousaka Honoka,2232,2079,1663,208,208,78
Lancer (Fate/Grand Order),2175,2066,1653,207,206,79
Kise Ryouta,2545,2040,1632,204,204,80
Fubuki,2172,2025,1620,202,203,81
YoRHa No.2 Type B,2565,2024,1619,202,203,82
Kurosawa Dia,2149,1996,1597,200,199,83
Shenhe,2133,1963,1570,196,197,84
Joan of Arc (Fate/Apocrypha),2157,1960,1568,196,196,85
Sakurauchi Riko,2070,1946,1557,195,194,86
Akashi Seijuurou,2595,1926,1541,193,192,87
Reisen Udongein Inaba,2214,1923,1538,192,193,88
Hinanawi Tenshi,2151,1905,1524,190,191,89
IA,2184,1903,1522,190,191,90
Hoshizora Rin,2033,1884,1507,188,189,91
Levi Ackerman,2766,1882,1506,188,188,92
Okumura Rin,2469,1879,1503,188,188,93
Ayase Eri,2004,1864,1491,186,187,94
Texas,1998,1853,1482,185,186,95
Kakudate Karin,1995,1853,1482,185,186,96
Takami Chika,1996,1839,1471,184,184,97
Assassin (Shuten-douji),2018,1827,1462,183,182,98
Shameimaru Aya,2274,1824,1459,182,183,99
Koizumi Hanayo,1950,1801,1441,180,180,100
Nahida,1999,1790,1432,179,179,101
Nami,2198,1788,1430,179,179,102
Yukihana Lamy,1823,1778,1422,178,178,103
Misono Mika,1876,1756,1405,176,175,104
Kunikida Hanamaru,1863,1745,1396,174,175,105
Zero Two,1885,1742,1394,174,174,106
Ultimate Madoka,1959,1735,1388,174,173,107
Black・・・Rock Shooter (Character),2797,1730,1384,173,173,108
Tifa Lockhart,1927,1723,1378,172,173,109
Kurosawa Ruby,1851,1717,1374,172,171,110
Prinz Eugen,1762,1702,1362,170,170,111
Sakata Gintoki,2616,1696,1357,170,169,112
Makima,2050,1687,1350,169,168,113
Zhongli,1964,1673,1338,167,168,114
Asuma Toki,1772,1670,1336,167,167,115
Kurosaki Ichigo,2594,1656,1325,166,165,116
Natori Sana,1756,1643,1314,164,165,117
Hayase Yuuka,1703,1631,1305,163,163,118
Xiao (Genshin Impact),1889,1624,1299,162,163,119
Kizuna AI,1743,1614,1291,161,162,120
Caster (Fate/EXTRA),1730,1608,1286,161,161,121
Kamado Nezuko,1824,1606,1285,161,160,122
Exusiai,1745,1606,1285,161,160,123
Lancer (Ereshkigal),1730,1605,1284,160,161,124
Belfast,1660,1604,1283,160,161,125
Japan,2648,1602,1282,160,160,126
Sakura Miko,1678,1589,1271,159,159,127
United Kingdom,2333,1572,1258,157,157,128
Nekomata Okayu,1612,1568,1254,157,157,129
Yelan,1692,1561,1249,156,156,130
Nakiri Ayame,1625,1550,1240,155,155,131
Venti,1823,1549,1239,155,155,132
Saber Alter,1713,1546,1237,155,154,133
Kitagawa Marin,1715,1543,1234,154,155,134
Chun-Li,1882,1542,1234,154,154,135
C.C.,1759,1540,1232,154,154,136
Ahri,1747,1540,1232,154,154,137
Ellen Joe,1717,1535,1228,154,153,138
Komeiji Satori,1734,1534,1227,153,154,139
Fujiwara no Mokou,1872,1529,1223,153,153,140
Tohsaka Rin,1719,1529,1223,153,153,141
Matsuura Kanan,1641,1526,1221,153,152,142
Gojou Satoru,2603,1500,1200,150,150,143
Fischl,1610,1488,1190,149,149,144
Ch・・en,1613,1464,1171,146,147,145
Kochou Shinobu,1684,1460,1168,146,146,146
Rumia,1638,1460,1168,146,146,147
Kaguya Luna,1533,1456,1165,146,145,148
Yuzuki Yukari,1627,1453,1162,145,146,149
